;cp [J/(kg K)];cp/cv;a [m/s];mu [kg/(ms)];nu [m2/s];
0;1181;1.193;410;3,35E-05;5,17E-07;
5;1159;1.198;400;2,21E-05;6,43E-07;
10;1138;1.202;389;2,08E-05;8,19E-07;
15;1116;1.207;379;2,94E-05;9,92E-07;
20;1091;1.213;367;2,78E-05;1,37E-06;
25;1062;1.220;355;2,67E-05;1,83E-06;
30;1030;1.228;342;2,52E-05;2,50E-06;
35;996;1.238;329;2,38E-05;3,50E-06;
40;964;1.248;316;2,25E-05;5,12E-06;
45;936;1.257;304;2,14E-05;7,95E-06;
50;904;1.268;292;2,01E-05;1,27E-05;
55;859;1.287;273;1,83E-05;1,99E-05;
60;821;1.304;256;1,67E-05;3,56E-05;
70;789;1.320;241;1,54E-05;1,83E-04;
80;757;1.338;225;1,39E-05;1,17E-03;
90;733;1.353;209;1,26E-05;1,09E-02;
100;738;1.352;213;1,29E-05;1,63E-01;