;z;Min;Max;Delta
Zonal;0;-1;1;2
;10;-2;10;12
;20;12;40;28
;30;21;48;27
;40;26;58;32
;50;37;80;43
;60;52;109;57
;70;61;123;62
;80;29;103;74
Meridonal;0;0.384615384615385;0.18348623853211;-0.201129146083275
;10;0.769230769230769;1.8348623853211;1.06563161609033
;20;-4.61538461538462;7.3394495412844;11.954834156669
;30;-8.07692307692308;8.80733944954128;16.8842625264644
;40;-10;10.6422018348624;20.6422018348624
;50;-14.2307692307692;14.6788990825688;28.909668313338
;60;-20;20;40
;70;-23.4615384615385;22.5688073394495;46.030345800988
;80;-11.1538461538462;18.8990825688073;30.0529287226535